customer_id,churn_probability,top_1_name,top_1_value,top_1_impact,top_2_name,top_2_value,top_2_impact
15565701,0.2778,age,40.0,-0.7514,active_member,0.0,0.372
15565714,0.1258,products_number,2.0,-1.2303,age,49.0,0.9815
15565779,0.2993,age,32.0,-1.2425,products_number,1.0,0.3901
15565796,0.7525,tenure,10.0,-0.5981,age,49.0,1.196
15565878,0.0076,products_number,2.0,-1.3855,credit_utilization,,0.013
15565879,0.0286,products_number,2.0,-1.1946,gender_Female,1.0,0.2413
15565891,0.0251,products_number,2.0,-1.5188,active_member,0.0,0.3398
15565996,0.0329,products_number,2.0,-1.6759,age,46.0,0.3513
15566091,0.4368,age,34.0,-1.1079,products_number,1.0,0.5789
15566111,0.3358,age,40.0,-0.6839,products_number,1.0,0.5063
15566139,0.283,age,39.0,-0.8359,balance,53573.18,0.3216
15566156,0.3786,products_number,2.0,-1.2444,age,46.0,0.5511
15566269,0.0119,age,27.0,-1.3687,active_member,0.0,0.2719
15566292,0.014,products_number,2.0,-1.3734,credit_score,574.0,0.0633
15566295,0.0819,age,35.0,-1.1666,active_member,0.0,0.259
15566380,0.0479,age,35.0,-1.2295,gender_Female,1.0,0.2026
15566467,0.0812,age,34.0,-1.2591,limite_credito,207026.1,0.206
15566543,0.0607,products_number,2.0,-1.6438,active_member,0.0,0.3805
15566594,0.0345,age,24.0,-1.2553,active_member,0.0,0.3346
15566633,0.2056,products_number,2.0,-1.1737,age,56.0,1.437
15566660,0.5541,age,42.0,-0.5607,products_number,3.0,2.3069
15566689,0.0169,active_member,1.0,-1.4494,age,67.0,0.3756
15566735,0.133,products_number,2.0,-1.1713,limite_credito,138492.84,0.2297
15566790,0.0342,age,30.0,-1.0008,limite_credito,114699.26,0.2369
15566843,0.1501,age,21.0,-1.377,country_germany,1.0,0.3676
15566891,0.523,balance,88594.93,-0.3876,products_number,1.0,0.3312
15566894,0.1512,gender_Female,0.0,-0.4792,active_member,0.0,0.2866
15566958,0.0723,gender_Female,0.0,-0.4014,products_number,1.0,0.1255
15567013,0.0292,products_number,2.0,-1.3483,active_member,0.0,0.3262
15567078,0.1103,age,28.0,-1.2864,gender_Female,1.0,0.2501
15567114,0.043,age,36.0,-1.4518,active_member,0.0,0.3233
15567147,0.0143,products_number,2.0,-1.5685,balance,0.0,0.0295
15567246,0.0679,products_number,2.0,-1.0505,limite_credito,229098.39,0.2937
15567328,0.074,age,39.0,-0.5836,credit_utilization,0.5990882937735023,0.0637
15567333,0.053,products_number,2.0,-1.3725,active_member,0.0,0.272
15567335,0.1611,products_number,2.0,-1.5565,cidade_marseille,1.0,0.2666
15567339,0.1075,active_member,1.0,-1.0318,products_number,1.0,0.3825
15567367,0.5232,active_member,1.0,-0.4278,country_germany,1.0,0.3509
15567383,0.3611,products_number,2.0,-1.1576,age,46.0,0.732
15567399,0.6283,active_member,1.0,-0.42,age,44.0,0.4649
15567422,0.0481,products_number,2.0,-1.7257,active_member,0.0,0.3369
