feature_name,global_importance
age,0.904692
products_number,0.773308
active_member,0.432747
gender_Female,0.314209
tenure,0.262296
limite_credito,0.204608
country_germany,0.16508
balance,0.099878
estimated_salary,0.075572
credit_score,0.052408
country_france,0.05105
credit_utilization,0.043602
cidade_nantes,0.03595
cidade_marseille,0.029817
country_spain,0.027132
cidade_berlin,0.025319
cidade_cologne,0.025186
cidade_lyon,0.023981
cidade_nice,0.023585
cidade_paris,0.022916
cidade_toulouse,0.022869
cidade_madrid,0.020703
cidade_bordeaux,0.02011
cidade_stuttgart,0.018311
cidade_barcelona,0.012688
cidade_bilbao,0.012342
cidade_zaragoza,0.012054
cidade_valencia,0.010087
salary_missing_flag,0.008184
cidade_hamburg,0.006905
cidade_frankfurt,0.006694
cidade_sevilla,0.006685
credit_card,0.006525
cidade_munich,0.006337
gender_Male,0.0
